wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
lubelskie,lubartowski,2,0,2,0.23,0.0,0.23,0,0,0,3,0,0,24,2,22,0,t0608,2022-05-13
lubelskie,lubelski,0,0,0,0.0,0.0,0.0,0,0,0,7,0,0,61,0,61,0,t0609,2022-05-13
lubelskie,łęczyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,19,0,t0610,2022-05-13
lubelskie,łukowski,1,0,1,0.09,0.0,0.09,0,0,0,0,0,0,36,1,35,0,t0611,2022-05-13
lubelskie,opolski,1,0,1,0.17,0.0,0.17,0,0,0,0,1,0,24,1,23,0,t0612,2022-05-13
lubelskie,parczewski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t0613,2022-05-13
lubelskie,puławski,3,0,3,0.27,0.0,0.27,0,0,0,10,1,0,46,3,42,1,t0614,2022-05-13
lubelskie,radzyński,1,1,2,0.17,0.17,0.34,0,0,0,0,0,0,17,2,15,0,t0615,2022-05-13
lubelskie,rycki,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,20,0,20,0,t0616,2022-05-13
lubelskie,świdnicki,5,0,5,0.7,0.0,0.7,0,0,0,13,0,0,39,5,34,0,t0617,2022-05-13
lubelskie,tomaszowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,13,0,t0618,2022-05-13
lubelskie,włodawski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,7,0,7,0,t0619,2022-05-13
lubelskie,zamojski,2,0,2,0.19,0.0,0.19,0,0,0,3,0,0,26,3,23,0,t0620,2022-05-13
lubelskie,Biała Podlaska,1,1,2,0.17,0.17,0.35,0,0,0,9,0,0,17,2,15,0,t0661,2022-05-13
lubelskie,Chełm,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,12,0,12,0,t0662,2022-05-13
lubelskie,Lublin,10,1,11,0.29,0.03,0.32,0,0,0,23,1,0,139,13,126,0,t0663,2022-05-13
lubelskie,Zamość,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,19,0,19,0,t0664,2022-05-13
lubuskie,gorzowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0801,2022-05-13
lubuskie,krośnieński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t0802,2022-05-13
lubuskie,międzyrzecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,12,0,12,0,t0803,2022-05-13
lubuskie,nowosolski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,8,0,8,0,t0804,2022-05-13
lubuskie,słubicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t0805,2022-05-13
lubuskie,strzelecko-drezdenecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,9,0,t0806,2022-05-13
lubuskie,sulęciński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,8,0,t0807,2022-05-13
lubuskie,świebodziński,3,0,3,0.54,0.0,0.54,0,0,0,2,0,0,10,3,7,0,t0808,2022-05-13
lubuskie,zielonogórski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,14,0,14,0,t0809,2022-05-13
lubuskie,żagański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0810,2022-05-13
lubuskie,żarski,1,0,1,0.1,0.0,0.1,0,0,0,7,0,0,18,1,17,0,t0811,2022-05-13
lubuskie,wschowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0812,2022-05-13
lubuskie,Gorzów Wielkopolski,3,0,3,0.24,0.0,0.24,0,0,0,1,0,0,20,3,16,1,t0861,2022-05-13
lubuskie,Zielona Góra,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,23,0,23,0,t0862,2022-05-13
łódzkie,bełchatowski,0,0,0,0.0,0.0,0.0,0,0,0,5,0,0,29,0,29,0,t1001,2022-05-13
łódzkie,kutnowski,1,0,1,0.1,0.0,0.1,0,0,0,3,0,0,15,1,14,0,t1002,2022-05-13
łódzkie,łaski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t1003,2022-05-13
łódzkie,łęczycki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,5,0,5,0,t1004,2022-05-13
łódzkie,łowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,15,0,15,0,t1005,2022-05-13
łódzkie,łódzki wschodni,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,12,0,12,0,t1006,2022-05-13
łódzkie,opoczyński,0,0,0,0.0,0.0,0.0,0,0,0,4,0,0,7,0,7,0,t1007,2022-05-13
łódzkie,pabianicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,17,0,17,0,t1008,2022-05-13
łódzkie,pajęczański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1009,2022-05-13
łódzkie,piotrkowski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,11,1,10,0,t1010,2022-05-13
łódzkie,poddębicki,1,0,1,0.24,0.0,0.24,0,0,0,3,0,0,8,1,7,0,t1011,2022-05-13
łódzkie,radomszczański,1,0,1,0.09,0.0,0.09,0,0,0,0,0,0,15,1,14,0,t1012,2022-05-13
łódzkie,rawski,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,6,0,6,0,t1013,2022-05-13
łódzkie,sieradzki,1,1,2,0.09,0.09,0.17,0,0,0,0,0,0,17,2,15,0,t1014,2022-05-13
łódzkie,skierniewicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1015,2022-05-13
łódzkie,tomaszowski,2,0,2,0.17,0.0,0.17,0,0,0,4,0,0,22,3,19,0,t1016,2022-05-13
łódzkie,wieluński,1,0,1,0.13,0.0,0.13,0,0,0,0,0,0,17,1,16,0,t1017,2022-05-13
łódzkie,wieruszowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t1018,2022-05-13
łódzkie,zduńskowolski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t1019,2022-05-13
łódzkie,zgierski,3,0,3,0.18,0.0,0.18,0,0,0,2,0,0,23,3,20,0,t1020,2022-05-13
łódzkie,brzeziński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,16,0,16,0,t1021,2022-05-13
łódzkie,Łódź,11,0,11,0.16,0.0,0.16,0,0,0,21,3,0,188,12,176,0,t1061,2022-05-13
łódzkie,Piotrków Trybunalski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,11,0,11,0,t1062,2022-05-13
łódzkie,Skierniewice,1,0,1,0.21,0.0,0.21,0,0,0,2,0,0,8,1,7,0,t1063,2022-05-13
małopolskie,bocheński,5,0,5,0.47,0.0,0.47,0,0,0,6,0,0,23,5,18,0,t1201,2022-05-13
małopolskie,brzeski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,17,1,16,0,t1202,2022-05-13
małopolskie,chrzanowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,24,0,24,0,t1203,2022-05-13
małopolskie,dąbrowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,11,0,11,0,t1204,2022-05-13
małopolskie,gorlicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,16,0,16,0,t1205,2022-05-13
małopolskie,krakowski,4,2,6,0.14,0.07,0.21,0,0,0,7,0,0,89,6,82,1,t1206,2022-05-13
małopolskie,limanowski,1,0,1,0.08,0.0,0.08,0,0,0,1,0,0,30,3,27,0,t1207,2022-05-13
małopolskie,miechowski,2,0,2,0.41,0.0,0.41,0,0,0,7,0,0,9,2,7,0,t1208,2022-05-13
małopolskie,myślenicki,2,0,2,0.16,0.0,0.16,0,0,0,2,0,0,9,2,7,0,t1209,2022-05-13
małopolskie,nowosądecki,1,0,1,0.05,0.0,0.05,0,0,0,3,0,0,34,1,33,0,t1210,2022-05-13
małopolskie,nowotarski,1,0,1,0.05,0.0,0.05,0,0,0,4,0,0,33,1,32,0,t1211,2022-05-13
małopolskie,olkuski,1,1,2,0.09,0.09,0.18,0,0,0,2,2,0,20,2,18,0,t1212,2022-05-13
małopolskie,oświęcimski,3,0,3,0.2,0.0,0.2,0,0,0,2,0,0,27,7,20,0,t1213,2022-05-13
małopolskie,proszowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1214,2022-05-13
małopolskie,suski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,24,0,24,0,t1215,2022-05-13
małopolskie,tarnowski,3,0,3,0.15,0.0,0.15,0,0,0,6,0,0,53,4,49,0,t1216,2022-05-13
małopolskie,tatrzański,1,0,1,0.15,0.0,0.15,0,0,0,3,0,0,34,1,33,0,t1217,2022-05-13
małopolskie,wadowicki,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,17,0,17,0,t1218,2022-05-13
małopolskie,wielicki,1,0,1,0.08,0.0,0.08,0,0,0,1,0,0,33,1,32,0,t1219,2022-05-13
małopolskie,Kraków,17,1,18,0.22,0.01,0.23,0,0,0,43,0,0,422,24,397,1,t1261,2022-05-13
małopolskie,Nowy Sącz,1,0,1,0.12,0.0,0.12,0,0,0,1,0,0,13,1,12,0,t1262,2022-05-13
małopolskie,Tarnów,0,2,2,0.0,0.18,0.18,0,0,0,5,0,0,21,2,19,0,t1263,2022-05-13
mazowieckie,białobrzeski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2,0,2,0,t1401,2022-05-13
mazowieckie,ciechanowski,1,1,2,0.11,0.11,0.22,0,0,0,9,0,0,17,2,15,0,t1402,2022-05-13
mazowieckie,garwoliński,1,1,2,0.09,0.09,0.18,0,0,0,6,0,0,19,2,17,0,t1403,2022-05-13
mazowieckie,gostyniński,1,0,1,0.22,0.0,0.22,0,0,0,1,0,0,9,1,8,0,t1404,2022-05-13
mazowieckie,grodziski,2,0,2,0.21,0.0,0.21,0,0,0,5,0,0,26,3,23,0,t1405,2022-05-13
mazowieckie,grójecki,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,18,0,18,0,t1406,2022-05-13
mazowieckie,kozienicki,1,0,1,0.17,0.0,0.17,0,0,0,2,0,0,12,2,10,0,t1407,2022-05-13
mazowieckie,legionowski,2,0,2,0.17,0.0,0.17,0,0,0,3,0,0,25,2,23,0,t1408,2022-05-13
mazowieckie,lipski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t1409,2022-05-13
mazowieckie,łosicki,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,12,0,12,0,t1410,2022-05-13
mazowieckie,makowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,8,0,8,0,t1411,2022-05-13
mazowieckie,miński,2,0,2,0.13,0.0,0.13,0,0,0,5,0,0,32,2,30,0,t1412,2022-05-13
mazowieckie,mławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,10,0,t1413,2022-05-13
mazowieckie,nowodworski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,12,1,11,0,t1414,2022-05-13
mazowieckie,ostrołęcki,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,11,0,11,0,t1415,2022-05-13
mazowieckie,ostrowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,16,0,16,0,t1416,2022-05-13
mazowieckie,otwocki,0,0,0,0.0,0.0,0.0,0,0,0,5,0,0,33,0,33,0,t1417,2022-05-13
mazowieckie,piaseczyński,5,0,5,0.26,0.0,0.26,0,0,0,2,0,0,68,5,63,0,t1418,2022-05-13
mazowieckie,płocki,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,23,1,22,0,t1419,2022-05-13
mazowieckie,płoński,1,0,1,0.12,0.0,0.12,0,0,0,0,0,0,45,1,44,0,t1420,2022-05-13
mazowieckie,pruszkowski,3,0,3,0.18,0.0,0.18,8,6,2,8,4,0,47,4,43,0,t1421,2022-05-13
mazowieckie,przasnyski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1422,2022-05-13
mazowieckie,przysuski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1423,2022-05-13
mazowieckie,pułtuski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,10,0,10,0,t1424,2022-05-13
mazowieckie,radomski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,12,0,12,0,t1425,2022-05-13
mazowieckie,siedlecki,1,0,1,0.12,0.0,0.12,0,0,0,0,0,0,17,1,16,0,t1426,2022-05-13
mazowieckie,sierpecki,1,0,1,0.19,0.0,0.19,0,0,0,2,0,0,10,1,9,0,t1427,2022-05-13
mazowieckie,sochaczewski,0,0,0,0.0,0.0,0.0,1,1,0,5,0,0,13,0,13,0,t1428,2022-05-13
mazowieckie,sokołowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t1429,2022-05-13
mazowieckie,szydłowiecki,2,0,2,0.51,0.0,0.51,0,0,0,3,0,0,11,2,9,0,t1430,2022-05-13
mazowieckie,warszawski zachodni,3,1,4,0.25,0.08,0.33,0,0,0,4,0,0,39,4,34,1,t1432,2022-05-13
mazowieckie,węgrowski,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,9,0,9,0,t1433,2022-05-13
mazowieckie,wołomiński,0,1,1,0.0,0.04,0.04,1,0,1,4,0,0,68,1,67,0,t1434,2022-05-13
mazowieckie,wyszkowski,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,8,0,8,0,t1435,2022-05-13
mazowieckie,zwoleński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t1436,2022-05-13
mazowieckie,żuromiński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t1437,2022-05-13
mazowieckie,żyrardowski,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,7,0,7,0,t1438,2022-05-13
mazowieckie,Ostrołęka,1,0,1,0.19,0.0,0.19,0,0,0,1,0,0,10,1,9,0,t1461,2022-05-13
mazowieckie,Płock,2,0,2,0.17,0.0,0.17,1,1,0,8,1,0,32,2,30,0,t1462,2022-05-13
mazowieckie,Radom,1,0,1,0.05,0.0,0.05,0,0,0,3,1,0,26,1,25,0,t1463,2022-05-13
mazowieckie,Siedlce,2,0,2,0.26,0.0,0.26,0,0,0,0,0,0,18,3,15,0,t1464,2022-05-13
mazowieckie,Warszawa,25,2,27,0.14,0.01,0.15,2,2,0,45,6,0,1141,31,1110,0,t1465,2022-05-13
opolskie,brzeski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,19,2,17,0,t1601,2022-05-13
opolskie,głubczycki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t1602,2022-05-13
opolskie,kędzierzyńsko-kozielski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,18,1,17,0,t1603,2022-05-13
opolskie,kluczborski,1,0,1,0.15,0.0,0.15,0,0,0,2,0,0,22,3,19,0,t1604,2022-05-13
opolskie,krapkowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t1605,2022-05-13
opolskie,namysłowski,0,1,1,0.0,0.23,0.23,0,0,0,0,0,0,2,1,1,0,t1606,2022-05-13
opolskie,nyski,0,0,0,0.0,0.0,0.0,0,0,0,5,0,0,26,0,26,0,t1607,2022-05-13
opolskie,oleski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,12,1,11,0,t1608,2022-05-13
opolskie,opolski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,25,0,25,0,t1609,2022-05-13
opolskie,prudnicki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,9,0,9,0,t1610,2022-05-13
opolskie,strzelecki,1,0,1,0.13,0.0,0.13,0,0,0,2,0,0,16,1,15,0,t1611,2022-05-13
opolskie,Opole,8,0,8,0.62,0.0,0.62,0,0,0,4,0,0,53,10,43,0,t1661,2022-05-13
podkarpackie,bieszczadzki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2,0,2,0,t1801,2022-05-13
podkarpackie,brzozowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t1802,2022-05-13
podkarpackie,dębicki,5,2,7,0.37,0.15,0.52,0,0,0,10,1,0,29,7,22,0,t1803,2022-05-13
podkarpackie,jarosławski,3,0,3,0.25,0.0,0.25,0,0,0,0,0,0,75,3,72,0,t1804,2022-05-13
podkarpackie,jasielski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,11,0,t1805,2022-05-13
podkarpackie,kolbuszowski,3,0,3,0.48,0.0,0.48,0,0,0,1,0,0,15,3,12,0,t1806,2022-05-13
podkarpackie,krośnieński,1,0,1,0.09,0.0,0.09,0,0,0,3,0,0,17,1,16,0,t1807,2022-05-13
podkarpackie,leżajski,4,0,4,0.58,0.0,0.58,0,0,0,0,0,0,23,5,18,0,t1808,2022-05-13
podkarpackie,lubaczowski,1,0,1,0.18,0.0,0.18,0,0,0,0,0,0,8,1,7,0,t1809,2022-05-13
podkarpackie,łańcucki,2,0,2,0.25,0.0,0.25,0,0,0,1,0,0,14,2,12,0,t1810,2022-05-13
podkarpackie,mielecki,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,7,0,7,0,t1811,2022-05-13
podkarpackie,niżański,1,0,1,0.15,0.0,0.15,0,0,0,0,0,0,21,1,20,0,t1812,2022-05-13
podkarpackie,przemyski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,20,0,20,0,t1813,2022-05-13
podkarpackie,przeworski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,47,0,47,0,t1814,2022-05-13
podkarpackie,ropczycko-sędziszowski,2,0,2,0.27,0.0,0.27,0,0,0,0,0,0,19,2,17,0,t1815,2022-05-13
podkarpackie,rzeszowski,2,0,2,0.12,0.0,0.12,0,0,0,1,0,0,58,2,56,0,t1816,2022-05-13
podkarpackie,sanocki,1,0,1,0.11,0.0,0.11,0,0,0,3,0,0,16,1,15,0,t1817,2022-05-13
podkarpackie,stalowowolski,1,0,1,0.09,0.0,0.09,0,0,0,1,0,0,20,1,19,0,t1818,2022-05-13
podkarpackie,strzyżowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,8,0,t1819,2022-05-13
podkarpackie,tarnobrzeski,1,0,1,0.19,0.0,0.19,0,0,0,0,0,0,16,1,14,1,t1820,2022-05-13
podkarpackie,leski,1,0,1,0.38,0.0,0.38,0,0,0,0,0,0,6,1,5,0,t1821,2022-05-13
podkarpackie,Krosno,1,0,1,0.22,0.0,0.22,0,0,0,0,0,0,8,1,7,0,t1861,2022-05-13
